U0,I0,protocol_id,R,c,n_replicates,E_U,E_I,E_M1,E_mean
500,10,R4_c1_G0.25_C,4.0,1.0,120,0.02145337015880576,0.00878871063334011,0.007122746187505739,0.024253289241233867
500,10,R4_c1_G0.5_C,4.0,1.0,120,0.018685273121927644,0.006930186315734381,0.005205885999267269,0.02059777082718396
500,10,R4_c1_G1_C,4.0,1.0,120,0.012737783008783437,0.004772271770926556,0.0037688690867068247,0.01411488816913435
500,10,R4_c1_G2_C,4.0,1.0,120,0.017013063155365608,0.006841898223478233,0.005532597222461255,0.01915373387240408
500,10,R4_c1_G4_C,4.0,1.0,120,0.01895835209134192,0.007083585898668795,0.006140677123619348,0.02114956781448855
500,10,R6_c0_G0.25_L,6.0,0.0,120,0.008829338512578068,0.006937507680663335,0.00607608350250533,0.012767342014623657
500,10,R6_c0_G0.25_M,6.0,0.0,120,0.009434086120821885,0.007481225477138236,0.006507467494642819,0.013686411098922144
500,10,R6_c0_G0.25_F,6.0,0.0,120,0.01502008963706285,0.01197098950254696,0.009766920960607394,0.02154763159668005
500,10,R6_c0_G0.5_L,6.0,0.0,120,0.0041002579837665235,0.004691922543446891,0.004390624626329968,0.007622587309862802
500,10,R6_c0_G0.5_M,6.0,0.0,120,0.004443685325891219,0.002700534792966999,0.0022963051871911404,0.0056843860667874415
500,10,R6_c0_G0.5_F,6.0,0.0,120,0.006466789440545934,0.005579130647693558,0.00520755155348585,0.010003232359322801
500,10,R6_c0_G1_L,6.0,0.0,120,0.006337056601986414,0.0050003275235199875,0.004963690113827693,0.009476274651220378
500,10,R6_c0_G1_M,6.0,0.0,120,0.004524149278971773,0.0029606456600563117,0.001899658971372548,0.005730798690439866
500,10,R6_c0_G1_F,6.0,0.0,120,0.009350235739380564,0.007607845044075954,0.006763031866577369,0.013821896202222097
500,10,R6_c0_G2_L,6.0,0.0,120,0.007048065078352438,0.0055682232086783304,0.00443178600114989,0.0100160400463628
500,10,R6_c0_G2_M,6.0,0.0,120,0.006810893929554183,0.0049841380303331465,0.004263443793627017,0.009455520134105153
500,10,R6_c0_G2_F,6.0,0.0,120,0.001370925404106472,0.0015752603855743882,0.0015492653900578983,0.0026002124903199194
500,10,R6_c0_G4_L,6.0,0.0,120,0.008380169981902478,0.006061797913260935,0.005685272920091997,0.011802329051620505
500,10,R6_c0_G4_M,6.0,0.0,120,0.007368118210120264,0.005709276602288749,0.004984778409310887,0.010570384149579408
500,10,R6_c0_G4_F,6.0,0.0,120,0.003974994215621599,0.0030800750302938875,0.0025772744326571706,0.005650644627623772
500,10,R6_c0.25_G0.25_L,6.0,0.25,120,0.008746587439171985,0.005775234531516752,0.0045687831300693284,0.011433717899909494
500,10,R6_c0.25_G0.25_M,6.0,0.25,120,0.004559823598310638,0.004634808016216948,0.00397315012202681,0.007619669184883364
500,10,R6_c0.25_G0.25_F,6.0,0.25,120,0.0074410683838264675,0.005604820346593751,0.004057282836619452,0.010160957328258982
500,10,R6_c0.25_G0.5_L,6.0,0.25,120,0.007697225155064773,0.00494185245438279,0.0039508258914421794,0.009963844940239738
500,10,R6_c0.25_G0.5_M,6.0,0.25,120,0.002895733999862899,0.0037436885208841815,0.0034574426838085213,0.005861261728602728
500,10,R6_c0.25_G0.5_F,6.0,0.25,120,0.006930212379936142,0.005379035828634786,0.0042156756252680816,0.009733128533736535
500,10,R6_c0.25_G1_L,6.0,0.25,120,0.0064809861488902545,0.006056816690519139,0.004751191728192432,0.010062903791784096
500,10,R6_c0.25_G1_M,6.0,0.25,120,0.007441239595187516,0.005295246207198811,0.004484061596998038,0.01017440354583562
500,10,R6_c0.25_G1_F,6.0,0.25,120,0.003973656768030664,0.003602874476074022,0.002838607828794319,0.006068636338268586
500,10,R6_c0.25_G2_L,6.0,0.25,120,0.0044037970097986654,0.004073242636556056,0.0034750190112019025,0.00693256740378227
500,10,R6_c0.25_G2_M,6.0,0.25,120,0.007398697821904999,0.005204966655323268,0.004327635977411103,0.010028002816905858
500,10,R6_c0.25_G2_F,6.0,0.25,120,0.004247323100738693,0.0038847286092390135,0.0026885512217209103,0.006352887340518925
500,10,R6_c0.25_G4_L,6.0,0.25,120,0.00847145493422079,0.0060102721650498545,0.0052340856662684105,0.01163118966238378
500,10,R6_c0.25_G4_M,6.0,0.25,120,0.0055536545928256765,0.003552977675162383,0.0026129328734024126,0.0070918367083233815
500,10,R6_c0.25_G4_F,6.0,0.25,120,0.008320111752266475,0.005930366196032074,0.004529069850988037,0.011176134237936274
500,10,R6_c0.5_G0.25_L,6.0,0.5,120,0.01199260924732635,0.00908281411752538,0.007840901400261157,0.016964666917484505
500,10,R6_c0.5_G0.25_M,6.0,0.5,120,0.004700327655581501,0.004008660844132561,0.003344355037865141,0.0070247528392392445
500,10,R6_c0.5_G0.25_F,6.0,0.5,120,0.003623186546285392,0.00290850913072233,0.002382710916066955,0.005221514858948814
500,10,R6_c0.5_G0.5_L,6.0,0.5,120,0.00516057511529676,0.0030204957707775787,0.0029193056438683914,0.006654117196460192
500,10,R6_c0.5_G0.5_M,6.0,0.5,120,0.006690461714407017,0.005744643472167167,0.00521580066608072,0.01024537862465546
500,10,R6_c0.5_G0.5_F,6.0,0.5,120,0.0065761351535666285,0.004695551774497093,0.003549967035782697,0.00882587253364229
500,10,R6_c0.5_G1_L,6.0,0.5,120,0.004106322019340596,0.004273172827781111,0.004149396803654109,0.007234596075579008
500,10,R6_c0.5_G1_M,6.0,0.5,120,0.004484581640466008,0.0036624847415670475,0.003067257017267003,0.006552353209511061
500,10,R6_c0.5_G1_F,6.0,0.5,120,0.006689852020913224,0.00456216157881868,0.003543832569127183,0.008838901945998307
500,10,R6_c0.5_G2_L,6.0,0.5,120,0.006308811838052865,0.0038347564921313204,0.002933948041548886,0.007944464442138805
500,10,R6_c0.5_G2_M,6.0,0.5,120,0.008400596775716406,0.0058407109364135065,0.005194492503959879,0.011474610355241374
500,10,R6_c0.5_G2_F,6.0,0.5,120,0.006726361074130062,0.004640856415500271,0.004493593796386606,0.009325978060009916
500,10,R6_c0.5_G4_L,6.0,0.5,120,0.008732737163323727,0.006759995527182317,0.006243084211855402,0.012685989845792028
500,10,R6_c0.5_G4_M,6.0,0.5,120,0.0033642516663278175,0.0022767211009035106,0.0020070376023367093,0.004530987550510625
500,10,R6_c0.5_G4_F,6.0,0.5,120,0.009597922272658193,0.0062166821392614525,0.005657094504405611,0.012758133366773398
500,10,R6_c0.75_G0.25_L,6.0,0.75,120,0.006963421607338,0.005737113765932882,0.0051898640016417195,0.010408573543014188
500,10,R6_c0.75_G0.25_M,6.0,0.75,120,0.014827522542279469,0.009693218202798271,0.008148321465742908,0.019498949883979707
500,10,R6_c0.75_G0.25_F,6.0,0.75,120,0.008223277893706221,0.005323034420257633,0.004748290710301853,0.010885920237899221
500,10,R6_c0.75_G0.5_L,6.0,0.75,120,0.008049382515410217,0.004571530209976983,0.004466835690331944,0.01027833004065092
500,10,R6_c0.75_G0.5_M,6.0,0.75,120,0.0029692445506988804,0.0031705416060795713,0.0027914517191510594,0.0051634242492834175
500,10,R6_c0.75_G0.5_F,6.0,0.75,120,0.01072559109934875,0.006226687772772534,0.005086991215381894,0.013404753808832024
500,10,R6_c0.75_G1_L,6.0,0.75,120,0.006109352188760887,0.004566504034210382,0.004674791764230401,0.008945994707112985
500,10,R6_c0.75_G1_M,6.0,0.75,120,0.002698854920255898,0.0020320508228770305,0.00168920727137009,0.0037770980438683707
500,10,R6_c0.75_G1_F,6.0,0.75,120,0.004998381980775858,0.003358180418409324,0.0026793472341731994,0.006590910388527838
500,10,R6_c0.75_G2_L,6.0,0.75,120,0.009204518594512963,0.006208270860060922,0.0051990904361418665,0.012259540407038035
500,10,R6_c0.75_G2_M,6.0,0.75,120,0.01111813172291319,0.006563665148987833,0.005684272228933357,0.014106931061315536
500,10,R6_c0.75_G2_F,6.0,0.75,120,0.00862850664414336,0.005991682781597463,0.005230063485834221,0.011734775393213711
500,10,R6_c0.75_G4_L,6.0,0.75,120,0.0022435856241768935,0.0015945396385552164,0.0015962978143034341,0.0031818862053641928
500,10,R6_c0.75_G4_M,6.0,0.75,120,0.0062890341230890144,0.004512683759751176,0.0036532633626043328,0.008559357342315317
500,10,R6_c0.75_G4_F,6.0,0.75,120,0.00598066459045788,0.004197426962550563,0.0033111026083945476,0.008021854058309734
500,10,R6_c1_G0.25_C,6.0,1.0,120,0.00455734761937606,0.0038344879000007577,0.002794383743542266,0.00657885212520073
500,10,R6_c1_G0.5_C,6.0,1.0,120,0.014605981833841614,0.008145219703530212,0.007238664321052825,0.018222995651159313
500,10,R6_c1_G1_C,6.0,1.0,120,0.008058999031228737,0.004785805327461147,0.003617266029040606,0.010046691571982909
500,10,R6_c1_G2_C,6.0,1.0,120,0.007042139539919622,0.00442980408794738,0.004294813186294598,0.009362708681918103
500,10,R6_c1_G4_C,6.0,1.0,120,0.007479619252994689,0.003848050558151782,0.0034259292014067843,0.009082355870638015
1000,20,R2_c0_G0.25_L,2.0,0.0,120,0.008850220658858397,0.003328403398747042,0.002280330017434408,0.009726488569041103
1000,20,R2_c0_G0.25_M,2.0,0.0,120,0.01173710823528182,0.0049707280950052205,0.003090939864215429,0.013115706491279478
1000,20,R2_c0_G0.25_F,2.0,0.0,120,0.015196245430022872,0.004762041599172318,0.002870789164187673,0.016181605167193892
1000,20,R2_c0_G0.5_L,2.0,0.0,120,0.00658666603589284,0.003970289925590295,0.002289253343258615,0.008024216624147732
1000,20,R2_c0_G0.5_M,2.0,0.0,120,0.010334934135279972,0.003545846663285139,0.0020123031654887195,0.011110052032728805
1000,20,R2_c0_G0.5_F,2.0,0.0,120,0.012658005500053058,0.005206258128799561,0.0030484351629877075,0.01402223890418377
1000,20,R2_c0_G1_L,2.0,0.0,120,0.006808701284114493,0.004837733415609539,0.0029230739852630435,0.008849092569305005
1000,20,R2_c0_G1_M,2.0,0.0,120,0.010345219793663697,0.0039529152502347014,0.0022551403699914373,0.01130198078405349
1000,20,R2_c0_G1_F,2.0,0.0,120,0.007264921164432257,0.003935913697040107,0.0021850185729746343,0.008546625200639594
1000,20,R2_c0_G2_L,2.0,0.0,120,0.012099481322124983,0.004919360646083185,0.0031383366393057588,0.013433045607467142
1000,20,R2_c0_G2_M,2.0,0.0,120,0.01293901051743868,0.004943139220964276,0.0031876550702979256,0.014213154589162117
1000,20,R2_c0_G2_F,2.0,0.0,120,0.005838273362586842,0.0037742918526929743,0.0024043082217721397,0.007356046007936379
1000,20,R2_c0_G4_L,2.0,0.0,120,0.012347787675243907,0.00464724965013011,0.00240431816783607,0.013410650082517489
1000,20,R2_c0_G4_M,2.0,0.0,120,0.00630693218502134,0.003063828895273403,0.0017179125826844541,0.007219118002063401
1000,20,R2_c0_G4_F,2.0,0.0,120,0.007492158062598387,0.002999875714709422,0.002074593471820024,0.00833280413858262
